Material,Hardness,Density,Temperature,Load,Speed,WearRate,FrictionCoefficient
Steel,79.22,7.89,482,87,194,2.4066,0.5964
Steel,66.29,7.75,796,194,498,4.8988,0.7687
Steel,68.95,7.72,178,166,487,0.8871,0.8089
Steel,81.3,7.81,413,61,450,0.5588,0.5536
Steel,78.88,7.82,602,79,484,1.3041,0.8613
Steel,84.51,7.82,359,95,484,0.7832,0.8617
Steel,72.85,7.86,566,110,612,1.5621,0.7791
Steel,71.48,7.87,532,88,118,5.5341,0.892
Steel,68.22,7.83,776,119,160,7.2014,0.5516
Steel,63.8,7.73,544,136,409,2.7351,0.7786
Steel,81.86,7.8,696,182,110,11.4839,0.5769
Steel,64.22,7.76,558,153,887,1.4752,0.5483
Steel,65.16,7.77,102,49,972,0.0884,0.5157
Steel,75.7,7.72,374,111,880,0.4992,0.6509
Steel,81.71,7.72,277,184,768,0.95,0.7146
Steel,65.9,7.85,102,134,414,0.4304,0.5249
Steel,63.33,7.84,774,111,800,1.9448,0.5122
Steel,68.85,7.78,216,123,534,0.7411,0.5729
Steel,81.02,7.72,150,48,586,0.1573,0.8562
Steel,76.98,7.86,133,150,160,1.7732,0.7337
Steel,73.94,7.82,772,87,603,1.4239,0.6135
Steel,76.15,7.81,339,113,790,0.5113,0.8735
Steel,65.63,7.77,648,8,399,0.1809,0.5746
Steel,64.33,7.88,783,135,292,6.0706,0.5073
Steel,84.93,7.88,492,79,53,10.2757,0.5021
Steel,72.27,7.84,598,189,243,6.6201,0.7227
Steel,67.0,7.85,350,158,167,4.3483,0.7844
Steel,78.41,7.81,25,94,703,0.044,0.6155
Steel,63.86,7.8,283,165,951,0.6564,0.6346
Steel,61.58,7.9,37,172,691,0.128,0.5351
Steel,60.07,7.72,574,167,655,2.7781,0.5427
Steel,78.65,7.78,400,141,979,0.6055,0.5725
Steel,78.53,7.81,373,76,828,0.3839,0.8181
Steel,64.09,7.73,29,87,428,0.107,0.7535
Steel,67.9,7.82,426,44,889,0.2952,0.6757
Steel,71.57,7.76,47,67,192,0.2159,0.731
Steel,69.79,7.81,640,108,996,0.9671,0.7171
Steel,68.32,7.85,578,196,549,3.1655,0.8176
Steel,73.34,7.88,444,161,599,1.7619,0.801
Steel,79.46,7.73,220,90,883,0.3247,0.805
Steel,68.55,7.86,183,51,277,0.512,0.6828
Steel,72.56,7.81,181,51,373,0.3711,0.7889
Steel,76.03,7.84,316,30,860,0.1639,0.7396
Steel,83.98,7.77,158,27,864,0.0615,0.6152
Steel,82.8,7.73,234,115,665,0.5732,0.8488
Steel,74.13,7.84,151,110,653,0.284,0.6498
Steel,61.93,7.72,321,15,456,0.1525,0.5491
Steel,64.14,7.74,25,67,999,0.0271,0.7075
Steel,69.98,7.71,161,184,362,1.0915,0.5019
Steel,69.95,7.81,99,42,435,0.1356,0.6863
Steel,82.96,7.82,787,183,231,7.5104,0.5706
Steel,70.47,7.88,201,33,112,0.7463,0.611
Steel,65.32,7.8,108,109,738,0.2794,0.7229
Steel,73.38,7.74,351,5,785,0.0335,0.5268
Steel,65.25,7.88,56,162,334,0.3959,0.75
Steel,80.91,7.82,793,82,420,1.9322,0.6813
Steel,71.02,7.78,702,183,880,1.9193,0.5412
Steel,61.89,7.85,482,114,211,3.4089,0.6635
Steel,63.9,7.84,373,12,882,0.0716,0.7207
Steel,64.9,7.8,352,58,810,0.3384,0.82
Steel,76.32,7.75,442,39,145,1.622,0.8955
Steel,80.17,7.89,524,169,231,4.3862,0.582
Steel,82.41,7.7,799,165,200,6.7918,0.8393
Steel,81.91,7.83,106,6,946,0.01,0.827
Steel,66.49,7.78,495,123,445,1.9303,0.8323
Steel,79.35,7.77,77,176,916,0.2061,0.8794
Steel,63.5,7.87,656,63,776,0.8136,0.8199
Steel,60.56,7.75,576,198,286,5.842,0.661
Steel,76.13,7.78,690,190,78,20.0669,0.5687
Steel,60.46,7.88,66,104,90,1.2888,0.6096
Steel,76.29,7.87,623,121,923,0.9693,0.556
Steel,66.66,7.85,634,16,798,0.1659,0.766
Steel,82.86,7.78,500,194,683,1.6138,0.6688
Steel,83.97,7.74,717,40,420,0.7772,0.5981
Steel,67.22,7.77,137,191,856,0.5365,0.7442
Steel,69.92,7.89,430,73,361,1.0104,0.586
Steel,66.56,7.82,515,85,556,1.1044,0.7387
Steel,79.27,7.72,737,44,66,6.7063,0.6651
Steel,74.96,7.79,155,112,221,0.8405,0.8871
Steel,62.58,7.76,41,78,618,0.0723,0.6784
Steel,73.55,7.87,800,153,130,13.7859,0.7635
Steel,81.23,7.75,113,16,704,0.0259,0.7773
Steel,76.75,7.71,40,149,968,0.0794,0.7223
Steel,67.82,7.72,543,141,932,1.4395,0.8698
Steel,83.61,7.79,396,171,451,1.8996,0.709
Steel,76.25,7.77,644,192,862,2.0289,0.5308
Steel,68.5,7.84,388,43,576,0.4293,0.8216
Steel,76.54,7.85,185,20,542,0.0797,0.7463
Steel,60.61,7.87,438,17,190,0.7585,0.6536
Steel,61.75,7.7,53,194,526,0.314,0.515
Steel,74.52,7.75,401,14,975,0.0748,0.6671
Steel,78.44,7.75,27,177,191,0.364,0.6188
Steel,77.89,7.82,456,197,998,1.1222,0.8951
Steel,69.61,7.84,164,191,854,0.4404,0.8145
Steel,70.44,7.88,326,92,60,8.4849,0.8615
Steel,78.58,7.71,608,152,910,1.3481,0.7599
Steel,72.82,7.75,250,61,267,0.9278,0.5147
Steel,80.66,7.86,78,51,776,0.0744,0.8535
Steel,84.87,7.73,514,167,739,1.6403,0.6965
Steel,82.44,7.79,144,129,138,1.6851,0.7372
Steel,62.29,7.88,347,127,590,1.4177,0.8555
Steel,81.55,7.86,64,29,310,0.067,0.7941
Steel,66.32,7.7,275,137,225,2.1017,0.6984
Steel,65.5,7.84,617,118,89,12.5696,0.8532
Steel,82.66,7.81,64,102,89,0.8047,0.7263
Steel,81.97,7.86,192,96,402,0.4834,0.5629
Steel,68.35,7.75,717,174,405,4.9625,0.7474
Steel,63.97,7.88,785,35,584,0.8296,0.5021
Steel,65.72,7.88,106,104,307,0.548,0.8329
Steel,60.16,7.76,70,159,162,0.9665,0.7239
Steel,69.42,7.7,389,167,375,2.0148,0.6133
Steel,70.81,7.87,436,64,384,0.8631,0.8728
Steel,83.43,7.84,266,72,780,0.3262,0.5666
Steel,77.71,7.79,46,124,259,0.3371,0.8486
Steel,84.22,7.85,251,184,430,1.0537,0.6534
Steel,80.54,7.77,483,62,587,0.6254,0.5636
Steel,83.61,7.72,513,43,320,0.8883,0.8179
Steel,65.52,7.72,108,26,508,0.0996,0.6093
Steel,63.78,7.79,45,51,918,0.0376,0.7554
Steel,66.86,7.9,281,62,941,0.3041,0.7898
Steel,65.01,7.87,548,22,320,0.5895,0.6886
Steel,63.98,7.74,629,57,569,1.1207,0.8084
Steel,79.03,7.83,717,28,877,0.2532,0.887
Steel,71.55,7.7,479,21,943,0.1449,0.7742
Steel,65.01,7.8,750,121,435,2.9656,0.819
Steel,71.38,7.7,298,68,387,0.7629,0.692
Steel,67.29,7.84,126,173,441,0.8078,0.7897
Steel,63.65,7.72,70,164,512,0.3689,0.6996
Steel,77.56,7.81,266,101,51,7.8312,0.7137
Steel,62.06,7.86,690,154,152,11.5689,0.5531
Steel,77.24,7.86,130,123,477,0.4577,0.5418
Steel,77.66,7.71,798,77,408,1.7832,0.7452
Steel,83.38,7.89,342,88,367,0.9774,0.7449
Steel,76.52,7.81,414,62,71,4.9959,0.6809
Steel,73.16,7.85,36,91,573,0.0898,0.5638
Steel,65.48,7.9,380,177,953,1.0492,0.8487
Steel,61.09,7.73,747,154,598,3.747,0.8985
Steel,76.26,7.74,59,193,142,0.9269,0.6674
Steel,81.01,7.73,749,163,73,19.3724,0.6702
Steel,69.28,7.9,176,54,738,0.1924,0.7056
Steel,60.73,7.78,764,70,384,2.2215,0.8603
Steel,66.92,7.82,270,129,317,1.6194,0.6535
Steel,80.9,7.75,544,104,801,0.9194,0.7407
Steel,69.32,7.8,317,73,983,0.3053,0.6969
Steel,81.77,7.79,528,88,179,3.3676,0.5381
Steel,67.8,7.78,187,9,498,0.0425,0.8094
Steel,84.25,7.79,419,14,756,0.0859,0.6768
Steel,71.22,7.83,385,5,182,0.1555,0.5995
Steel,77.67,7.73,308,125,156,3.3857,0.7946
Steel,71.87,7.87,580,60,205,2.4169,0.8457
Steel,73.5,7.71,358,134,560,0.9565,0.5925
Steel,76.0,7.74,509,63,886,0.4924,0.5413
Steel,77.21,7.78,266,47,175,0.9768,0.8807
Steel,81.7,7.79,519,175,227,4.9605,0.6371
Steel,63.14,7.73,332,84,995,0.4747,0.5807
Steel,84.25,7.72,800,161,401,4.519,0.5938
Steel,66.38,7.83,143,175,463,0.8526,0.6989
Steel,81.72,7.81,612,76,394,1.5466,0.7758
Steel,65.39,7.83,77,52,118,0.4875,0.7309
Steel,63.98,7.82,599,77,210,3.9419,0.6628
Steel,79.56,7.81,513,72,659,0.6557,0.6617
Steel,76.69,7.86,618,145,328,4.0153,0.6742
Steel,63.01,7.81,625,147,114,12.2592,0.6466
Steel,77.39,7.78,497,165,354,2.9268,0.7183
Steel,60.37,7.82,646,78,991,0.8565,0.7002
Steel,83.79,7.87,653,158,714,1.6548,0.6521
Steel,74.5,7.81,67,180,392,0.449,0.8252
Steel,83.89,7.7,431,111,385,1.7171,0.759
Steel,66.09,7.89,348,25,190,0.5824,0.6406
Steel,72.15,7.75,588,31,718,0.3574,0.8212
Steel,67.78,7.82,682,6,994,0.0686,0.8907
Steel,73.06,7.72,132,78,88,1.7353,0.7101
Steel,62.67,7.81,322,188,85,9.4869,0.6698
Steel,80.39,7.77,709,110,608,1.6605,0.8806
Steel,80.48,7.88,50,13,832,0.01,0.7444
Steel,81.0,7.88,744,53,203,2.2082,0.6023
Steel,78.3,7.87,191,93,195,1.0004,0.8067
Steel,70.6,7.73,585,112,275,3.4224,0.6892
Steel,64.46,7.76,443,164,572,1.8844,0.5928
Steel,74.86,7.8,794,68,852,0.9061,0.7388
Steel,71.07,7.79,777,28,749,0.4256,0.8275
Steel,68.43,7.88,645,40,793,0.4937,0.7581
Steel,70.03,7.77,94,173,757,0.3475,0.677
Steel,76.74,7.71,184,153,825,0.4715,0.852
Steel,73.32,7.76,283,90,887,0.3726,0.5209
Steel,69.07,7.9,495,34,165,1.5136,0.5241
Steel,83.94,7.74,311,51,360,0.4402,0.7143
Steel,71.26,7.85,681,148,957,1.4631,0.8925
Steel,69.56,7.72,651,108,679,1.7428,0.897
Steel,73.5,7.87,173,88,455,0.5017,0.5356
Steel,63.19,7.87,574,146,853,1.4075,0.6213
Steel,69.0,7.72,785,197,892,2.2912,0.8301
Steel,83.56,7.87,286,167,455,1.5035,0.6988
Steel,81.29,7.74,263,53,91,1.9808,0.7159
Steel,76.86,7.81,486,138,116,6.9347,0.816
Steel,62.02,7.78,602,95,179,6.0939,0.5894
Steel,74.33,7.89,277,58,338,0.6362,0.8691
Steel,75.16,7.85,405,184,948,1.1819,0.8811
Steel,76.66,7.72,561,83,629,1.0725,0.532
Steel,63.05,7.82,567,82,581,1.069,0.6758
Steel,76.02,7.74,278,134,109,4.2915,0.6459
Steel,74.11,7.74,369,134,431,1.2742,0.8979
Steel,77.38,7.9,107,141,148,1.4664,0.5299
Steel,66.63,7.74,424,101,309,1.8544,0.7533
Steel,65.82,7.74,245,56,469,0.4313,0.7108
Steel,63.27,7.88,598,11,204,0.5764,0.6657
Steel,78.34,7.85,534,187,435,2.8349,0.5535
Steel,79.76,7.82,495,62,937,0.3639,0.7141
Steel,60.3,7.75,237,185,387,1.5351,0.5258
Steel,69.29,7.75,419,195,966,1.0244,0.8377
Aluminum,49.76,2.63,588,116,813,1.8956,0.6259
Aluminum,52.28,2.77,578,25,603,0.5419,0.746
Aluminum,55.74,2.66,153,134,621,0.54,0.3382
Aluminum,58.61,2.65,256,25,333,0.3488,0.6186
Aluminum,57.9,2.73,103,149,904,0.2522,0.5592
Aluminum,54.75,2.7,125,12,894,0.0337,0.319
Aluminum,53.18,2.76,507,156,66,24.6749,0.7783
Aluminum,47.07,2.66,675,184,448,6.5585,0.7712
Aluminum,47.1,2.68,797,98,401,4.0102,0.3344
Aluminum,41.65,2.7,361,140,817,1.768,0.4139
Aluminum,53.35,2.6,406,72,639,1.0152,0.3346
Aluminum,49.57,2.78,173,168,701,0.7073,0.5372
Aluminum,49.72,2.78,312,36,941,0.1963,0.3783
Aluminum,42.22,2.72,689,63,895,1.2006,0.5197
Aluminum,58.86,2.65,749,176,337,5.3504,0.548
Aluminum,59.85,2.73,246,123,88,6.7077,0.7233
Aluminum,45.04,2.75,685,130,953,2.1226,0.6741
Aluminum,43.61,2.61,280,90,711,0.9549,0.7923
Aluminum,40.86,2.63,565,184,332,7.628,0.7826
Aluminum,43.01,2.67,302,175,470,2.6232,0.5952
Aluminum,45.95,2.71,437,34,856,0.4347,0.5886
Aluminum,48.68,2.63,210,148,633,1.1,0.4233
Aluminum,59.84,2.62,248,68,923,0.2822,0.6288
Aluminum,54.85,2.76,755,159,115,21.1917,0.4777
Aluminum,51.08,2.6,626,62,615,0.9938,0.7163
Aluminum,54.99,2.75,44,79,961,0.0607,0.3744
Aluminum,57.53,2.8,156,115,430,0.8065,0.6217
Aluminum,44.34,2.63,766,58,920,1.1412,0.3016
Aluminum,47.11,2.76,44,21,168,0.1172,0.7371
Aluminum,54.47,2.62,722,59,549,1.4835,0.5803
Aluminum,53.53,2.76,183,192,109,6.3506,0.4611
Aluminum,42.98,2.74,100,34,363,0.2431,0.6538
Aluminum,50.35,2.69,764,98,232,5.7324,0.6678
Aluminum,47.43,2.61,500,51,874,0.6502,0.7666
Aluminum,48.42,2.73,776,51,448,2.0724,0.505
Aluminum,47.68,2.71,424,73,554,1.3966,0.5828
Aluminum,43.31,2.74,278,122,759,0.9487,0.559
Aluminum,58.81,2.65,326,158,630,1.2157,0.721
Aluminum,56.05,2.69,285,104,631,0.6872,0.6156
Aluminum,58.08,2.78,337,104,887,0.6055,0.3286
Aluminum,42.63,2.68,620,156,597,3.4701,0.3067
Aluminum,40.89,2.61,187,187,269,3.783,0.6936
Aluminum,47.42,2.69,753,74,605,2.2166,0.3782
Aluminum,40.93,2.72,465,25,245,1.2853,0.4576
Aluminum,41.73,2.65,696,152,521,5.7162,0.5801
Aluminum,41.05,2.68,166,61,214,1.0404,0.7906
Aluminum,53.08,2.64,329,151,420,2.3251,0.786
Aluminum,46.99,2.62,202,121,757,0.5741,0.509
Aluminum,53.68,2.71,688,65,622,1.4587,0.7301
Aluminum,41.35,2.74,553,102,543,2.4968,0.5292
Aluminum,43.32,2.79,136,61,115,1.9064,0.3488
Aluminum,49.2,2.75,612,92,985,1.0949,0.356
Aluminum,59.56,2.76,585,196,81,20.5793,0.4293
Aluminum,46.6,2.75,238,147,425,1.8793,0.3631
Aluminum,43.23,2.65,405,172,107,15.4089,0.6754
Aluminum,51.05,2.62,68,101,603,0.1879,0.5489
Aluminum,53.14,2.76,202,175,964,0.606,0.5205
Aluminum,43.73,2.62,532,45,213,2.3773,0.4382
Aluminum,52.85,2.64,262,108,259,2.2292,0.379
Aluminum,55.87,2.66,411,113,308,2.3414,0.7486
Aluminum,50.14,2.72,544,105,977,1.0038,0.6271
Aluminum,48.81,2.72,782,23,593,0.681,0.3588
Aluminum,46.39,2.8,133,123,582,0.563,0.6626
Aluminum,59.94,2.8,595,132,844,1.2998,0.6434
Aluminum,40.59,2.76,690,130,694,2.9765,0.7867
Aluminum,45.93,2.78,670,64,989,1.0955,0.794
Aluminum,53.03,2.66,752,135,637,2.6131,0.4676
Aluminum,54.24,2.77,214,165,724,0.8445,0.371
Aluminum,49.01,2.75,303,180,945,1.3384,0.4762
Aluminum,49.43,2.8,313,129,321,2.3563,0.3532
Aluminum,40.08,2.74,478,152,173,8.6874,0.7959
Aluminum,41.54,2.67,466,157,864,1.8042,0.4527
Aluminum,40.66,2.66,326,146,509,2.5826,0.4164
Aluminum,41.18,2.78,139,138,300,1.3472,0.3001
Aluminum,47.8,2.68,166,104,550,0.6253,0.5733
Aluminum,59.54,2.62,620,117,330,2.9937,0.5107
Aluminum,59.32,2.63,107,114,996,0.2229,0.713
Aluminum,56.79,2.8,742,67,122,8.1208,0.4524
Aluminum,45.63,2.77,422,124,983,0.9652,0.3601
Aluminum,45.27,2.61,697,124,869,2.2834,0.4506
Aluminum,45.94,2.66,246,45,757,0.3664,0.3322
Aluminum,57.55,2.67,622,173,681,2.2832,0.3927
Aluminum,44.79,2.76,694,16,84,3.2927,0.4339
Aluminum,51.47,2.73,328,24,918,0.1409,0.5995
Aluminum,41.88,2.78,348,39,531,0.6278,0.7395
Aluminum,50.35,2.69,356,186,637,1.7652,0.5322
Aluminum,46.82,2.63,430,25,868,0.2951,0.5226
Aluminum,52.79,2.74,372,32,821,0.2733,0.4923
Aluminum,53.04,2.79,186,95,1000,0.3024,0.7919
Aluminum,48.14,2.78,746,149,622,3.0375,0.5362
Aluminum,42.8,2.66,473,189,142,15.4301,0.5365
Aluminum,49.39,2.69,713,145,750,2.2413,0.3028
Aluminum,44.38,2.61,626,43,390,1.3801,0.5193
Aluminum,47.94,2.61,257,13,393,0.1856,0.3435
Aluminum,42.28,2.67,207,45,600,0.3969,0.5468
Aluminum,59.86,2.63,582,49,50,10.4043,0.4949
Aluminum,57.65,2.73,133,16,494,0.0844,0.4547
Aluminum,59.1,2.76,544,157,908,1.7301,0.3011
Aluminum,56.59,2.61,682,198,373,6.2854,0.4919
Aluminum,47.38,2.62,436,172,133,11.4447,0.7502
Aluminum,46.42,2.75,794,195,846,3.7248,0.6393
Aluminum,51.87,2.6,234,55,167,1.2803,0.3579
Aluminum,43.44,2.73,653,6,654,0.1398,0.3332
Aluminum,42.84,2.6,292,167,284,4.1318,0.543
Aluminum,40.87,2.62,73,131,272,0.9692,0.5333
Aluminum,41.35,2.68,131,150,469,0.9222,0.6365
Aluminum,46.13,2.76,212,112,915,0.5513,0.4921
Aluminum,51.59,2.75,47,108,124,0.7526,0.5911
Aluminum,52.02,2.74,703,38,489,1.1114,0.3828
Aluminum,40.9,2.75,583,152,836,2.7429,0.3127
Aluminum,52.74,2.67,503,130,444,2.9903,0.4556
Aluminum,52.12,2.67,652,188,253,7.8279,0.5798
Aluminum,43.35,2.79,400,92,492,1.474,0.566
Aluminum,41.99,2.64,387,196,283,5.9062,0.4977
Aluminum,42.94,2.7,509,126,174,8.1539,0.4852
Aluminum,49.48,2.69,225,117,846,0.7449,0.4442
Aluminum,47.79,2.68,302,72,118,3.9387,0.3771
Aluminum,50.83,2.75,403,91,996,0.8191,0.4781
Aluminum,54.18,2.64,365,178,432,3.2937,0.4351
Aluminum,51.15,2.67,628,195,329,6.2597,0.7999
Aluminum,56.34,2.64,533,21,148,1.4086,0.7402
Aluminum,51.39,2.72,189,89,569,0.5696,0.3197
Aluminum,50.86,2.65,88,95,166,0.9322,0.5996
Aluminum,49.17,2.61,782,143,536,4.7424,0.3624
Aluminum,45.52,2.78,548,74,578,1.5492,0.7746
Aluminum,41.87,2.75,606,187,811,3.3672,0.5457
Aluminum,51.25,2.69,739,196,810,3.8042,0.4811
Aluminum,57.89,2.69,628,183,736,2.7766,0.6823
Aluminum,59.12,2.64,353,76,165,2.9045,0.3016
Aluminum,45.97,2.65,599,42,372,1.4773,0.5242
Aluminum,52.53,2.79,744,118,529,2.5661,0.7646
Aluminum,57.44,2.71,344,130,326,2.679,0.4794
Aluminum,45.58,2.64,81,51,212,0.4577,0.7989
Aluminum,56.57,2.66,671,71,114,7.7801,0.4709
Aluminum,41.38,2.6,672,137,237,10.3868,0.6293
Aluminum,56.92,2.72,128,27,314,0.1764,0.6616
Aluminum,53.75,2.6,99,103,633,0.3367,0.3555
Aluminum,58.95,2.61,597,87,172,5.4949,0.7345
Aluminum,42.26,2.77,404,148,407,2.8824,0.3251
Aluminum,48.06,2.66,532,38,344,1.1213,0.5007
Aluminum,43.05,2.65,654,57,856,1.0684,0.413
Aluminum,59.58,2.72,77,23,362,0.0719,0.6798
Aluminum,54.4,2.77,98,14,533,0.0392,0.6124
Aluminum,53.65,2.65,436,114,102,9.2736,0.702
Aluminum,50.4,2.63,495,12,515,0.1976,0.5007
Aluminum,57.64,2.76,663,79,922,0.9137,0.6743
Aluminum,40.0,2.7,178,22,145,0.782,0.5967
Aluminum,51.67,2.69,414,73,989,0.5479,0.6705
Aluminum,42.04,2.67,683,141,972,2.4244,0.7333
Aluminum,58.14,2.79,107,181,247,1.599,0.4887
Aluminum,41.79,2.74,242,161,978,1.0846,0.7651
Aluminum,53.52,2.63,749,153,284,8.9449,0.6332
Aluminum,55.22,2.79,455,29,655,0.3612,0.4345
Aluminum,52.69,2.8,125,52,920,0.1305,0.5502
Aluminum,49.15,2.64,251,109,941,0.5173,0.7295
Aluminum,51.04,2.68,552,141,378,4.4061,0.7349
Aluminum,52.95,2.76,197,166,954,0.6866,0.3683
Aluminum,54.77,2.66,173,32,537,0.1942,0.5341
Aluminum,41.71,2.61,549,61,98,8.2448,0.3558
Aluminum,45.35,2.77,582,17,726,0.3412,0.7555
Aluminum,54.19,2.79,699,157,436,4.7023,0.5021
Aluminum,51.9,2.6,195,157,789,0.717,0.3208
Aluminum,55.25,2.69,711,108,653,1.8096,0.788
Aluminum,40.34,2.75,758,166,470,5.3558,0.4328
Aluminum,45.87,2.75,543,61,687,1.0797,0.5853
Aluminum,53.26,2.71,252,115,356,1.7721,0.3118
Aluminum,55.66,2.76,480,49,263,1.8634,0.3762
Aluminum,54.2,2.79,250,160,254,2.8751,0.6737
Aluminum,41.16,2.79,417,123,694,1.904,0.5654
Aluminum,52.89,2.71,302,21,620,0.2027,0.6628
Aluminum,57.92,2.77,531,49,388,1.3019,0.3735
Aluminum,52.72,2.68,436,69,98,5.444,0.7737
Aluminum,54.5,2.71,183,178,291,2.4077,0.645
Aluminum,49.95,2.65,272,58,722,0.4426,0.779
Aluminum,44.84,2.7,301,50,502,0.7832,0.6105
Aluminum,55.22,2.71,326,145,272,2.7264,0.3219
Aluminum,48.91,2.64,259,112,210,3.3834,0.3685
Aluminum,50.54,2.68,516,74,730,1.2218,0.3985
Aluminum,59.9,2.74,114,194,381,0.9446,0.4298
Aluminum,51.87,2.61,178,138,309,1.6749,0.7147
Aluminum,47.1,2.74,269,84,499,0.9202,0.7835
Aluminum,57.08,2.75,519,98,882,1.124,0.5291
Aluminum,59.2,2.75,117,90,93,1.537,0.3061
Aluminum,47.14,2.79,279,175,777,1.1613,0.704
Aluminum,50.29,2.76,637,159,938,2.486,0.5014
Aluminum,40.01,2.78,462,159,595,2.524,0.7966
Aluminum,55.22,2.67,428,121,655,1.6901,0.7592
